Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
11/15/2017,1269.79,1326.39,1191.98,1212.4,"1,321,780,000","21,335,600,000",BCH,-0.016552155
11/14/2017,1346.73,1390.21,1211.39,1273.53,"1,697,910,000","22,626,200,000",BCH,0.026722432
11/13/2017,1381.82,1501.16,1043,1353.99,"4,850,570,000","23,214,700,000",BCH,-0.083440308
11/12/2017,1346.97,2477.65,1215.58,1388.86,"8,371,320,000","22,614,400,000",BCH,-0.049654253
11/11/2017,1001.64,1403.66,910.72,1340.45,"5,139,770,000","16,807,400,000",BCH,-0.007755776
11/10/2017,651.77,1034.77,651.77,1007.42,"5,195,420,000","10,933,000,000",BCH,0.021297547
11/9/2017,622.31,670.14,619.26,654.3,"710,387,000","10,437,700,000",BCH,-0.007449361
11/8/2017,615.24,646.38,565.6,622.46,"837,646,000","10,317,500,000",BCH,-0.113186541
11/7/2017,602.68,626.21,602.45,616.3,"375,367,000","10,105,200,000",BCH,-0.041750634
11/6/2017,630.31,657.34,602.65,602.65,"794,105,000","10,566,600,000",BCH,0.012792459
11/5/2017,619.91,635.72,579.13,630.7,"816,028,000","10,390,900,000",BCH,-0.042064701
11/4/2017,635.35,642.05,571.12,620.45,"1,161,370,000","10,647,200,000",BCH,-0.009183767
11/3/2017,587.32,684.53,577.86,625.32,"1,682,210,000","9,839,760,000",BCH,-0.024326498
11/2/2017,527.68,610.39,514.52,587.22,"1,632,060,000","8,840,010,000",BCH,-0.019487202
11/1/2017,438.3,538.26,437.91,531.83,"1,152,230,000","7,342,250,000",BCH,0.034965826
10/31/2017,449.37,454.07,431.76,439.05,"343,799,000","7,527,260,000",BCH,-0.007926172
10/30/2017,458.45,478.42,417.62,448.23,"796,409,000","7,679,000,000",BCH,0.062313833
10/29/2017,420.47,526.12,408.4,451.92,"2,002,440,000","7,042,260,000",BCH,-0.018120336
10/28/2017,369.54,425.44,369.06,423.35,"781,037,000","6,183,520,000",BCH,0.031759409
10/27/2017,338.3,372.81,338.24,367.57,"501,989,000","5,655,870,000",BCH,-0.006771631
10/26/2017,332.11,350.94,331.21,338.2,"234,967,000","5,550,700,000",BCH,-0.12519177
10/25/2017,326.59,334.38,320.38,332.13,"151,935,000","5,457,720,000",BCH,-0.096233436
10/24/2017,315.9,340.45,311.48,326.89,"267,442,000","5,278,410,000",BCH,0.098285619
10/23/2017,330.67,332.28,309.87,315.6,"191,558,000","5,524,790,000",BCH,0.135587197
10/22/2017,323.5,355.52,323.5,331.66,"355,546,000","5,405,020,000",BCH,-0.04338118
10/21/2017,326.75,328.45,317.46,323.36,"129,938,000","5,458,980,000",BCH,0.037056232
