Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
10/27/2017,88.58,89.19,86.43,86.75,"27,939,000","1,352,700,000",XMR,0.023209934
10/26/2017,88.17,89.87,88.02,88.58,"23,132,200","1,346,070,000",XMR,-0.095352984
10/25/2017,88.49,101.29,85.82,88.13,"59,952,100","1,350,650,000",XMR,-0.021200328
10/24/2017,85.16,92.35,83.47,88.4,"42,191,100","1,299,330,000",XMR,-0.030843995
10/23/2017,86.48,86.92,82.89,85.21,"26,261,800","1,319,200,000",XMR,0.072060548
10/22/2017,88.18,89.04,85.52,86.58,"27,130,000","1,344,760,000",XMR,-0.012951458
10/21/2017,90.41,90.41,86.58,88.12,"25,267,200","1,378,290,000",XMR,-0.048147038
10/20/2017,88.71,92.73,88.07,90.54,"38,260,700","1,351,990,000",XMR,0.201130759
10/19/2017,89.66,92.48,87.91,88.62,"35,302,300","1,366,060,000",XMR,-0.253841315
10/18/2017,91.19,91.26,86.54,89.54,"36,277,100","1,389,050,000",XMR,-0.004292997
10/17/2017,95.93,96.94,90.72,91.28,"43,866,200","1,460,870,000",XMR,-0.007363378
10/16/2017,94.99,97.97,93.05,95.9,"32,185,000","1,446,090,000",XMR,-0.002653693
10/15/2017,99.94,100.81,91.6,94.87,"34,188,200","1,520,300,000",XMR,-0.028623314
10/14/2017,95.06,103.13,93.73,100.23,"38,886,100","1,446,050,000",XMR,-0.016245029
10/13/2017,87.23,96.77,85.53,95.13,"63,578,800","1,326,720,000",XMR,-0.018623213
10/12/2017,87.56,88.63,86.46,87.09,"32,783,200","1,331,450,000",XMR,-0.004530851
10/11/2017,86.74,88.25,85.8,87.42,"21,103,400","1,318,540,000",XMR,0.023993938
10/10/2017,85.61,88.41,84.27,86.82,"31,695,500","1,301,030,000",XMR,0.113067916
10/9/2017,89.74,90.12,83.76,85.49,"38,063,700","1,363,380,000",XMR,-0.158916264
10/8/2017,91.39,92.2,89.74,89.77,"29,220,800","1,388,030,000",XMR,0.008644841
10/7/2017,90.94,92.05,89.57,91.7,"22,617,600","1,380,750,000",XMR,-0.117085249
10/6/2017,91.91,92.94,90.23,91.19,"24,504,100","1,394,580,000",XMR,0.003910416
10/5/2017,90.49,92.45,88.14,91.86,"27,697,400","1,373,110,000",XMR,0.064115195
10/4/2017,92.95,93.65,89.05,90.41,"29,568,100","1,410,000,000",XMR,-0.010908548
10/3/2017,91.52,94.81,87.21,92.96,"44,289,800","1,387,960,000",XMR,-0.077717693
10/2/2017,93.56,93.8,90.98,91.54,"27,534,700","1,418,400,000",XMR,0.111960844
10/1/2017,95.59,95.74,91.77,93.22,"25,936,500","1,448,800,000",XMR,-0.050221673
9/30/2017,94.44,96.33,94.07,95.76,"28,498,000","1,430,900,000",XMR,0.284664061
9/29/2017,97.3,97.78,91.22,94.5,"38,972,400","1,473,750,000",XMR,0.251994912
9/28/2017,100.97,101.14,95.48,97.23,"41,822,000","1,528,970,000",XMR,-0.044936359
9/27/2017,92.75,102.91,92.64,101.04,"51,634,900","1,404,030,000",XMR,-0.007471706
9/26/2017,93.81,95.31,91.6,93.13,"32,540,800","1,419,730,000",XMR,0.168867804
9/25/2017,89.37,94.23,89.12,93.64,"28,114,300","1,352,120,000",XMR,0.42344979
9/24/2017,91.76,91.81,88,89.5,"22,224,000","1,387,760,000",XMR,-0.019358308
9/23/2017,88.03,92.12,86.96,91.85,"26,372,900","1,329,730,000",XMR,0.191398765
9/22/2017,86.17,89.54,84.33,88.17,"28,179,100","1,301,560,000",XMR,-0.014355077
9/21/2017,95.33,95.75,85.17,86.24,"34,290,500","1,439,880,000",XMR,-0.02806227
9/20/2017,97.64,98.09,93.37,95.57,"34,198,900","1,474,840,000",XMR,0.000205044
9/19/2017,100.83,101.28,93.7,97.72,"48,249,700","1,522,630,000",XMR,-0.024614769
9/18/2017,93.81,102.02,93.81,100.57,"63,732,100","1,416,250,000",XMR,0.043195638
9/17/2017,94.97,96.36,89.22,93.74,"41,008,200","1,433,270,000",XMR,-0.032806804
9/16/2017,100.11,106.12,91.41,95.29,"71,163,500","1,510,430,000",XMR,-0.029105211
9/15/2017,83.13,103.69,73.17,99.85,"176,154,000","1,253,940,000",XMR,0.027175015
9/14/2017,111.29,120.39,82.65,83.04,"133,553,000","1,678,110,000",XMR,-0.028857479
9/13/2017,111.81,113.16,102.39,111.33,"88,162,900","1,685,390,000",XMR,-0.018867925
9/12/2017,112.72,115.69,110.49,111.89,"40,402,700","1,698,640,000",XMR,0.030555556
9/11/2017,113.05,116.24,110.47,112.75,"30,605,900","1,702,970,000",XMR,0.053282987
9/10/2017,115.64,115.77,103.17,112.33,"50,725,200","1,741,490,000",XMR,-0.015235742
9/9/2017,118.19,119.73,113.17,116.27,"39,220,400","1,779,350,000",XMR,0.075254537
9/8/2017,120.28,132.57,113.3,118.04,"159,066,000","1,810,210,000",XMR,0.040590406
9/7/2017,121.39,124.76,116.6,120.84,"62,655,700","1,826,360,000",XMR,-0.010045662
9/6/2017,118.78,122.31,114.32,121.63,"64,604,400","1,786,650,000",XMR,-0.010208711
9/5/2017,106.75,122.63,95.81,118.82,"113,378,000","1,605,070,000",XMR,0.107071214
9/4/2017,126.23,126.23,101.73,106.17,"89,194,700","1,897,480,000",XMR,0.004285354
9/3/2017,124.93,129.29,115.74,126.01,"92,631,100","1,877,380,000",XMR,-0.098521047
9/2/2017,141.35,141.4,121.96,124.8,"128,849,000","2,123,430,000",XMR,0.004577707
9/1/2017,140.65,150.09,136.49,141.2,"163,961,000","2,112,260,000",XMR,-0.029366306
8/31/2017,131.95,141.97,131.21,140.41,"131,974,000","1,980,860,000",XMR,-0.014808362
8/30/2017,133.84,135.83,124.06,132.38,"106,543,000","2,008,790,000",XMR,0.124478272
8/29/2017,144.24,144.5,128.02,133.03,"104,869,000","2,163,850,000",XMR,-0.106915477
8/28/2017,130.76,154.58,129.06,145.4,"216,036,000","1,961,250,000",XMR,0.068448195
8/27/2017,137.59,138.88,124.81,130.68,"92,742,200","2,057,550,000",XMR,-0.044130824
8/26/2017,107.46,148.36,105.28,138.05,"301,843,000","1,606,920,000",XMR,0.110807453
8/25/2017,86.47,108.36,85.34,108.26,"95,835,700","1,293,030,000",XMR,-0.005178792
8/24/2017,90.35,93.77,79.35,86.29,"70,187,100","1,351,030,000",XMR,0.155058756
8/23/2017,91.01,99.71,85.51,90.33,"84,961,900","1,360,920,000",XMR,-0.038661914
8/22/2017,77.99,95.51,72.53,91.16,"150,286,000","1,166,240,000",XMR,0.042705646
8/21/2017,54.67,95.08,52.87,77.82,"238,775,000","817,490,000",XMR,0.181879878
8/20/2017,55.79,56.05,51.8,54.71,"15,702,600","834,239,000",XMR,-0.079449484
8/19/2017,46.97,58.03,46.97,55.96,"27,038,800","702,398,000",XMR,-0.097835254
8/18/2017,47.37,48.93,46.22,46.69,"14,517,200","708,081,000",XMR,-0.068277311
8/17/2017,48.82,49.46,47.05,47.45,"11,176,000","729,528,000",XMR,-0.054415038
8/16/2017,48.77,49.09,47.03,48.78,"12,423,400","728,672,000",XMR,0.09487666
8/15/2017,49.97,50.16,45.72,48.74,"13,651,100","746,257,000",XMR,-0.077267081
8/14/2017,47.69,49.75,46.63,49.75,"14,023,000","711,941,000",XMR,-0.109107103
8/13/2017,49.38,50.15,45.46,47.76,"19,587,800","737,066,000",XMR,-0.039408867
8/12/2017,50.85,51.57,46.34,49.37,"17,349,200","758,739,000",XMR,0.043694815
8/11/2017,49.31,51.56,48.93,50.65,"8,534,390","735,446,000",XMR,-0.116942726
8/10/2017,50.94,51.29,49.47,49.47,"9,147,740","759,514,000",XMR,0.09051349
8/9/2017,51.94,53.34,49.74,50.96,"11,466,600","774,178,000",XMR,0.009271523
8/8/2017,50.4,52.64,49.93,51.94,"12,471,600","750,929,000",XMR,0.044087256
8/7/2017,47.67,50.21,47.24,50.21,"12,794,900","710,052,000",XMR,0.026346742
8/6/2017,48.57,49.18,47.36,47.83,"8,254,240","723,258,000",XMR,0.04518808
8/5/2017,45.18,49.49,45.18,48.58,"12,131,400","672,541,000",XMR,-0.062914665
8/4/2017,43.36,45.32,42.97,45.12,"7,794,340","645,208,000",XMR,-0.030161898
8/3/2017,43.8,44.31,43.23,43.36,"8,262,040","651,543,000",XMR,-0.042942177
8/2/2017,44.08,44.78,42.78,43.63,"8,111,580","655,515,000",XMR,0.080365297
8/1/2017,39.88,45.04,39.81,44.15,"17,363,300","592,886,000",XMR,0.001839503
7/31/2017,39.67,40.68,38.94,39.84,"13,138,500","589,540,000",XMR,-0.052505447
7/30/2017,43.95,43.95,39.55,39.62,"11,709,500","652,927,000",XMR,-0.04076087
7/29/2017,43.69,44.37,42.19,43.89,"7,053,810","648,884,000",XMR,-0.066109275
7/28/2017,45.29,45.79,42.74,43.96,"18,694,500","672,368,000",XMR,0.08345627
7/27/2017,45.92,46.74,43.93,45.24,"15,960,700","681,502,000",XMR,0.01025641
7/26/2017,40.73,46.44,38.6,45.8,"26,033,100","604,269,000",XMR,-0.032800498
7/25/2017,45.55,45.84,38.24,40.68,"12,706,300","675,620,000",XMR,-0.019375892
7/24/2017,42.66,45.76,41.86,45.58,"12,102,100","632,493,000",XMR,-0.010681177
7/23/2017,44.64,44.78,41.44,42.67,"8,634,060","661,581,000",XMR,-0.017627253
7/22/2017,40.25,44.76,40.15,44.71,"9,028,920","596,297,000",XMR,0.047105209
7/21/2017,40.55,41.43,39.53,40.34,"9,572,580","600,573,000",XMR,0.046552099
7/20/2017,34.89,41.01,34.89,40.3,"14,905,700","516,643,000",XMR,-0.004757785
7/19/2017,36.47,37.59,34.37,35.06,"6,994,230","539,762,000",XMR,-0.109272797
7/18/2017,34.89,37.92,33.38,36.38,"9,949,120","516,217,000",XMR,0.040160643
7/17/2017,29.47,34.98,29.46,34.83,"13,708,900","435,925,000",XMR,-0.153156202
7/16/2017,31.97,32.53,28.83,29.43,"12,434,100","472,681,000",XMR,0.120870728
7/15/2017,35.57,35.57,31.37,32.09,"9,718,770","525,794,000",XMR,-0.059543083
7/14/2017,38.08,38.33,34.22,35.48,"9,558,140","562,680,000",XMR,-0.00908605
7/13/2017,40.43,40.74,37.2,38.23,"9,969,180","597,277,000",XMR,0.061992062
7/12/2017,36.89,40.75,35.51,40.39,"15,785,600","544,765,000",XMR,-0.049737746
7/11/2017,40.25,40.73,35.34,37.14,"17,988,200","594,108,000",XMR,0.148852595
7/10/2017,44.91,45.12,38.84,40.01,"14,633,300","662,645,000",XMR,0.125466418
7/9/2017,46.69,47,44.56,44.85,"12,681,200","688,769,000",XMR,0.013226264
7/8/2017,44.17,46.24,41.9,46.1,"15,801,900","651,286,000",XMR,-0.036826551
7/7/2017,50.11,50.65,43.84,44.25,"20,324,700","738,662,000",XMR,0.005944216
7/6/2017,45.96,50.26,45.88,50.12,"23,168,300","677,244,000",XMR,0.044455067
7/5/2017,45.3,46.9,44.13,45.72,"15,243,000","667,353,000",XMR,0.050213407
7/4/2017,43.55,45.53,43.55,45.47,"14,850,800","641,305,000",XMR,-0.036328409
7/3/2017,42.51,44.14,41.82,43.63,"13,141,000","625,802,000",XMR,0.121055495
7/2/2017,40.94,43,40.22,42.79,"12,774,300","602,361,000",XMR,0.102004188
7/1/2017,43.71,43.98,39.8,40.96,"10,673,500","642,898,000",XMR,-0.136915526
6/30/2017,45.09,45.87,43.48,43.73,"11,338,900","663,056,000",XMR,-0.027631248
6/29/2017,47.04,47.91,44.67,45.02,"11,470,500","691,512,000",XMR,-0.118629174
6/28/2017,43.8,47.41,42.29,47.32,"10,812,600","643,627,000",XMR,-0.194104067
6/27/2017,43.49,44.05,38.51,43.57,"12,171,600","638,919,000",XMR,0.531809419
6/26/2017,45.9,48.2,39.39,43.49,"17,033,600","674,032,000",XMR,0.039367816
6/25/2017,47.84,48.73,45.28,45.89,"9,156,060","702,334,000",XMR,-0.011415525
6/24/2017,51.43,51.81,47.3,48.03,"7,786,220","754,764,000",XMR,0.103079824
6/23/2017,47.45,52.51,46.75,51.41,"11,033,000","696,116,000",XMR,0.051468162
6/22/2017,46.8,47.8,46.64,47.28,"7,443,100","686,351,000",XMR,0.124166049
6/21/2017,48.17,48.91,45.54,46.59,"12,133,900","706,159,000",XMR,0.021236253
6/20/2017,49.03,50.91,47.6,48.08,"15,178,600","718,495,000",XMR,-0.053011179
6/19/2017,49.62,50.67,48.52,49.09,"12,502,400","726,891,000",XMR,-0.025254297
6/18/2017,50.49,51.7,48.98,49.6,"10,122,000","739,370,000",XMR,0.000701508
6/17/2017,48.19,51.2,48.09,50.46,"15,646,500","705,427,000",XMR,-0.004197272
6/16/2017,45.97,48.24,44.17,48.11,"8,711,820","672,698,000",XMR,-0.031408308
6/15/2017,46.24,47.02,38.75,46.02,"14,252,000","676,380,000",XMR,-0.014362057
6/14/2017,51.98,53.56,44.37,46.3,"12,407,600","760,132,000",XMR,0.047385047
6/13/2017,49.8,52.87,49.73,51.8,"13,362,700","727,975,000",XMR,-0.059711286
6/12/2017,59.09,59.8,45.78,50.04,"25,425,000","863,418,000",XMR,-0.089088191
6/11/2017,52.37,58.7,51.95,58.7,"15,485,200","764,939,000",XMR,0.131515361
6/10/2017,55.59,56.25,51.92,52.28,"14,465,400","811,671,000",XMR,0.016842105
6/9/2017,56.13,57.23,55.29,55.62,"11,941,600","819,313,000",XMR,0.089620835
6/8/2017,52.91,56.46,51.45,56.19,"14,708,500","771,963,000",XMR,0.031758634
6/7/2017,55.29,62.38,52.06,52.54,"50,623,800","806,489,000",XMR,0.093275488
6/6/2017,48.37,55.57,47.12,55.57,"34,918,400","705,243,000",XMR,0.011857708
6/5/2017,42.88,48.5,42.88,48.26,"16,780,900","625,055,000",XMR,-0.04005059
6/4/2017,42.34,43.42,41.7,42.9,"9,805,040","616,914,000",XMR,0.043095866
6/3/2017,43.99,44.42,42.16,42.37,"9,819,610","640,642,000",XMR,0.017434063
6/2/2017,43.74,44.65,43,44,"9,539,580","636,754,000",XMR,0.054245283
6/1/2017,41.84,45.52,41.84,43.7,"12,849,800","608,922,000",XMR,0.091610911
5/31/2017,39.83,43.11,39.23,41.83,"15,027,900","579,429,000",XMR,-0.015251652
5/30/2017,41.29,45.65,39.66,39.79,"23,048,100","600,461,000",XMR,0.00255102
5/29/2017,36.76,43.81,36.06,41.21,"31,360,800","534,431,000",XMR,-0.00861632
5/28/2017,33.43,39.39,33.43,36.84,"19,020,300","485,858,000",XMR,-0.019880716
5/27/2017,38.71,40.79,28.69,33.41,"20,990,300","562,314,000",XMR,-0.007400099
5/26/2017,39.81,44.61,34.84,38.71,"24,735,300","578,017,000",XMR,0.015515516
5/25/2017,45.52,50.9,39.5,40.12,"52,485,500","660,745,000",XMR,-0.007843137
5/24/2017,56.31,58.64,44.04,45.38,"95,915,700","817,013,000",XMR,-0.032273374
5/23/2017,36.31,56.84,36.3,55.62,"68,629,500","526,642,000",XMR,0.025815879
5/22/2017,34.8,41.18,33.27,36.17,"28,469,700","504,584,000",XMR,0.004887586
5/21/2017,35.04,36.46,33.35,34.64,"10,952,100","507,841,000",XMR,-0.012071463
5/20/2017,31.82,36.78,31.27,35.1,"23,733,000","460,963,000",XMR,0.013705335
5/19/2017,30.31,31.87,30.28,31.87,"10,692,300","439,025,000",XMR,-0.040987424
5/18/2017,26.98,31.11,26.98,30.33,"15,586,800","390,685,000",XMR,-0.009681881
5/17/2017,26.37,27.97,25.28,26.93,"10,576,800","381,592,000",XMR,0.020637899
5/16/2017,27.73,27.73,25.96,26.26,"9,801,320","401,220,000",XMR,-0.020183486
5/15/2017,28.51,28.54,27.32,27.79,"8,160,330","412,305,000",XMR,0.055099082
5/14/2017,28.51,29.16,27.79,28.53,"7,419,170","412,198,000",XMR,-0.007677543
5/13/2017,28.59,28.73,27.22,28.47,"7,213,280","413,130,000",XMR,0.078715691
5/12/2017,29.61,30.29,28.3,28.68,"8,023,910","427,789,000",XMR,0.003623188
5/11/2017,29.94,30.03,28.73,29.51,"9,288,200","432,298,000",XMR,-0.016334865
5/10/2017,28.49,30.67,28.11,29.84,"12,732,500","411,189,000",XMR,-0.07930549
5/9/2017,30.48,31.61,26.61,28.66,"21,083,700","439,752,000",XMR,0.050172159
5/8/2017,33.45,33.81,28.58,30.47,"25,549,000","482,431,000",XMR,0.00843254
5/7/2017,28.97,34.56,28.77,32.78,"31,328,600","417,648,000",XMR,-0.059757236
5/6/2017,28.5,29.94,27.94,28.98,"14,355,000","410,681,000",XMR,0.047758285
5/5/2017,26.11,30.83,25.93,28.45,"24,376,200","376,183,000",XMR,-0.0125
5/4/2017,25.19,26.52,24.87,25.99,"13,585,800","362,797,000",XMR,-0.008547009
